year_nu	month_nu	mean_va
1970	11	2166
1970	12	8211
1971	1	6146
1971	2	12020
1971	3	5093
1971	4	1763
1971	5	9197
1971	6	1200
1971	7	4350
1971	8	2556
1971	9	2213
1971	10	395.5
1971	11	209.1
1971	12	3425
1972	1	8906
1972	2	11460
1972	3	10200
1972	4	18980
1972	5	4084
1972	6	976
1972	7	765.7
1972	8	2242
1972	9	128.2
1972	10	1015
1972	11	5354
1972	12	14310
1973	1	3644
1973	2	5776
1973	3	6724
1973	4	10830
1973	5	8331
1973	6	4402
1973	7	2797
1973	8	594.6
1973	9	375
1973	10	315.4
1973	11	4872
1973	12	4810
1974	1	15110
1974	2	3419
1974	3	11880
1974	4	6872
1974	5	2872
1974	6	8212
1974	7	1192
1974	8	4630
1974	9	6551
1974	10	1243
1974	11	2694
1974	12	8262
1975	1	7741
1975	2	13700
1975	3	15220
1975	4	11920
1975	5	5122
1975	6	848.1
1975	7	964.1
1975	8	719.1
1975	9	3408
1975	10	7178
1975	11	1430
1975	12	6580
1976	1	8901
1976	2	7986
1976	3	4157
1976	4	2250
1976	5	371.2
1976	6	1639
1976	7	743.1
1976	8	917.5
1976	9	578.4
1976	10	2244
1976	11	1549
1976	12	1808
1977	1	759.9
1977	2	2321
1977	3	7160
1977	4	2983
1977	5	1462
1977	6	175.5
1977	7	826.9
1977	8	2059
1977	9	669.2
1977	10	2113
1977	11	3089
1977	12	7389
1978	1	10910
1978	2	5877
1978	3	13840
1978	4	3264
1978	5	8726
1978	6	1445
1978	7	950.6
1978	8	3859
1978	9	2447
